"","B220","CD106","CD11b","CD11c","CD16.32","CD169","CD19","CD21.35","CD27","CD3","CD31","CD35","CD4","CD44","CD45","CD5","CD71","CD79b","CD8a","CD90","ERTR7","F4.80","IgD","IgM","Ly6C","Ly6G","MHCII","NKp46","TCR","Ter119"
"codex_122",3137.41235351562,1566.71276855469,246.490325927734,1686.33447265625,4822.25048828125,-56.6285858154297,1874.8388671875,122.701698303223,409.638702392578,-100.574111938477,1766.53625488281,614.361572265625,111.943641662598,4404.447265625,4955.13623046875,268.674255371094,-61.5580062866211,4969.94189453125,1266.58557128906,1933.36962890625,-230.474945068359,1483.64306640625,4361.474609375,717.179138183594,143.58251953125,67.6427459716797,2798.86572265625,412.665496826172,547.577575683594,90.7949905395508
"codex_123",-377.417358398438,5634.5966796875,229.849456787109,3466.7294921875,34670.9296875,705.694458007812,808.733764648438,116.637718200684,1301.28308105469,939.970275878906,9886.8271484375,154.304092407227,350.00244140625,264.181793212891,-1146.21618652344,-149.537963867188,182.149429321289,-23.966438293457,1887.20300292969,2885.96557617188,3193.37646484375,-605.350524902344,-590.374328613281,1.67318868637085,490.110076904297,257.209808349609,-706.272216796875,553.93359375,244.428695678711,51.8931465148926
"codex_124",-126.97314453125,3267.23681640625,147.195068359375,1209.73852539062,1133.53369140625,58.485767364502,527.113342285156,46.7194328308105,526.132446289062,-221.918670654297,956.184875488281,430.811737060547,-272.334045410156,1982.19946289062,709.175109863281,-222.81591796875,-41.0192070007324,372.798431396484,485.255767822266,879.357849121094,1983.02478027344,1223.54516601562,-425.095825195312,171.41455078125,212.812286376953,39.8672981262207,2531.54833984375,377.984497070312,236.025314331055,-212.629547119141
"codex_125",3193.73828125,4428.06298828125,121.332221984863,1854.13500976562,4247.6484375,395.352020263672,1200.27917480469,147.952941894531,688.080078125,661.783630371094,3036.5107421875,316.164703369141,596.005676269531,4671.35498046875,4906.27392578125,338.621185302734,63.7741966247559,2458.732421875,1084.48962402344,1654.86022949219,4064.234375,2224.11889648438,4496.3447265625,200.556762695312,231.86247253418,96.917839050293,657.139038085938,270.222015380859,650.382019042969,10.8517065048218
"codex_126",367.365814208984,3875.98022460938,241.292205810547,2440.91235351562,3245.78662109375,908.329162597656,1276.54345703125,98.2441940307617,567.050720214844,1079.74548339844,2972.365234375,472.195495605469,481.583068847656,9244.5166015625,3703.68896484375,618.389709472656,749.005310058594,3021.02685546875,1897.62512207031,1970.99926757812,2043.22607421875,5030.1728515625,-596.196411132812,783.005249023438,424.748168945312,294.974945068359,-830.041564941406,562.800903320312,395.672821044922,234.12287902832
"codex_127",3287.83715820312,1327.37854003906,183.969268798828,1504.58520507812,1500.10485839844,118.085746765137,1215.14453125,199.093795776367,484.243743896484,-42.2448043823242,712.666015625,457.352172851562,404.787750244141,2318.2900390625,2620.04809570312,213.721725463867,717.855285644531,1427.09436035156,783.456420898438,1315.287109375,1341.07861328125,845.708190917969,1266.55871582031,215.148559570312,208.383926391602,110.584045410156,1606.54650878906,209.720199584961,657.656555175781,534.139465332031
"codex_128",2254.75390625,-1038.89025878906,161.20686340332,1126.57250976562,1268.55322265625,-1035.99853515625,818.547546386719,-27.542459487915,-34.6413078308105,-1470.62377929688,966.4765625,67.5520782470703,-1565.3876953125,1837.26196289062,3188.00463867188,-218.061584472656,20.4078025817871,2616.6328125,-500.854949951172,182.192291259766,-686.539428710938,153.629730224609,5920.0244140625,284.171173095703,-359.497741699219,-199.684906005859,3380.01025390625,16.4160423278809,-417.918365478516,59.0200157165527
"codex_129",528.942077636719,3830.82690429688,205.408294677734,1698.17053222656,3779.03588867188,383.931610107422,971.00146484375,104.273941040039,460.727264404297,592.864318847656,1684.46691894531,603.668151855469,259.736633300781,4055.81469726562,1808.2841796875,216.800857543945,-274.7021484375,1365.85205078125,1192.283203125,1703.38208007812,1015.55590820312,2470.853515625,719.15234375,165.090957641602,424.978332519531,178.765228271484,1674.77160644531,642.201110839844,790.199096679688,121.977386474609
"codex_130",2902.697265625,1922.017578125,215.04118347168,2317.19262695312,1557.10070800781,340.457702636719,1797.63720703125,318.347534179688,906.419860839844,438.411651611328,2184.283203125,504.211090087891,1164.12463378906,3421.9423828125,4546.2353515625,500.971527099609,1692.78198242188,2459.92333984375,1079.63806152344,1954.57348632812,1729.35864257812,4179.12353515625,2949.85668945312,574.730224609375,95.9328384399414,203.683441162109,692.444580078125,256.568023681641,703.232666015625,160.226608276367
"codex_131",893.825317382812,2283.4404296875,217.676864624023,1704.22509765625,789.9169921875,-597.391845703125,850.10302734375,29.7282218933105,340.567932128906,-734.689392089844,1310.01538085938,624.539001464844,-14.7421026229858,3848.5849609375,2623.341796875,-130.746780395508,74.0665969848633,2135.2626953125,448.544738769531,1747.40991210938,166.577819824219,1952.64660644531,2659.59838867188,299.139495849609,-20.6331424713135,-4.5612211227417,3764.32275390625,718.29052734375,249.798934936523,343.368225097656
"codex_132",-455.483215332031,2931.0634765625,666.984497070312,410.379425048828,-73.0717926025391,176.679885864258,-319.115814208984,111.702911376953,-219.449066162109,-329.340484619141,538.497131347656,301.813873291016,197.26481628418,4186.5556640625,-1259.91906738281,-636.60986328125,119.553047180176,422.616424560547,170.798294067383,-17.7220993041992,2381.4287109375,474.935943603516,-705.311340332031,-5.0675368309021,776.9541015625,-5.87968683242798,-176.314788818359,361.474761962891,-346.873138427734,317.040649414062
