"","x"
"codex_1051",11442
"codex_1052",10642
"codex_1053",7054
"codex_1054",15935
"codex_1055",6793
"codex_1056",12760
"codex_1057",6600
"codex_1058",12529
"codex_1059",15977
"codex_1060",11278
"codex_1061",11678
"codex_1062",19549
"codex_1063",159
"codex_1064",8327
"codex_1065",10448
"codex_1066",5083
"codex_1067",12893
"codex_1068",10287
"codex_1069",3241
"codex_1070",9575
"codex_1071",6315
"codex_1072",12814
"codex_1073",11878
"codex_1074",4351
"codex_1075",11443
"codex_1076",15071
"codex_1077",10072
"codex_1078",7617
"codex_1079",1586
"codex_1080",2106
"codex_1081",7164
"codex_1082",6677
"codex_1083",10786
"codex_1084",13991
"codex_1085",17000
"codex_1086",13370
"codex_1087",1718
"codex_1088",14562
"codex_1089",6213
"codex_1090",12904
"codex_1091",7543
"codex_1092",10728
"codex_1093",9233
"codex_1094",13139
"codex_1095",5539
"codex_1096",7146
"codex_1097",10344
"codex_1098",4525
"codex_1099",2387
"codex_1100",9838
"codex_1101",8962
"codex_1102",10811
"codex_1103",150
"codex_1104",8844
"codex_1105",8507
"codex_1106",7830
"codex_1107",6605
"codex_1108",3636
"codex_1109",4793
"codex_1110",6628
"codex_1111",4262
"codex_1112",2499
"codex_1113",12084
"codex_1114",8800
"codex_1115",3951
"codex_1116",4802
"codex_1117",8179
"codex_1118",11621
"codex_1119",9896
"codex_1120",9389
"codex_1121",5709
"codex_1122",10631
"codex_1123",4889
"codex_1124",12550
"codex_1125",2609
"codex_1126",1767
"codex_1127",2294
"codex_1128",10743
"codex_1129",5064
"codex_1130",4417
"codex_1131",9784
"codex_1132",9787
"codex_1133",6358
"codex_1134",5697
"codex_1135",10046
"codex_1136",9944
"codex_1137",10394
"codex_1138",8035
"codex_1139",6009
"codex_1140",12695
"codex_1141",3060
"codex_1142",9553
"codex_1143",2235
"codex_1144",13964
"codex_1145",17238
"codex_1146",24050
"codex_1147",12506
"codex_1148",13811
"codex_1149",17474
"codex_1150",4830
"codex_1151",497
"codex_1152",12641
"codex_1153",5619
"codex_1154",4337
"codex_1155",3020
"codex_1156",11846
"codex_1157",2886
"codex_1158",5023
"codex_1159",9869
"codex_1160",13007
"codex_1161",15344
"codex_1162",8779
"codex_1163",12358
"codex_1164",12458
"codex_1165",13006
"codex_1166",16348
"codex_1167",7572
"codex_1168",4949
"codex_1169",7071
"codex_1170",14467
"codex_1171",6414
"codex_1172",16237
"codex_1173",4449
"codex_1174",10079
"codex_1175",4991
"codex_1176",8211
"codex_1177",8803
"codex_1178",8845
"codex_1179",7990
"codex_1180",11538
"codex_1181",9419
"codex_1182",13875
"codex_1183",4525
"codex_1184",14754
"codex_1185",2841
"codex_1186",7443
"codex_1187",15636
"codex_1188",4883
"codex_1189",12356
"codex_1190",17146
"codex_1191",3660
"codex_1192",12972
"codex_1193",6288
"codex_1194",23287
"codex_1195",8686
"codex_1196",21745
"codex_1197",22321
"codex_1198",10398
"codex_1199",3216
"codex_1200",6015
"codex_1201",10722
"codex_1202",11250
"codex_1203",23011
"codex_1204",18659
"codex_1205",7765
"codex_1206",17144
"codex_1207",9644
"codex_1208",18868
"codex_1209",4003
"codex_1210",5966
"codex_1211",5596
"codex_1212",12641
"codex_1213",10180
"codex_1214",9525
"codex_1215",7751
"codex_1216",2074
"codex_1217",15251
"codex_1218",16295
"codex_1219",15887
"codex_1220",12410
"codex_1221",19024
"codex_1222",12392
"codex_1223",2591
"codex_1224",8552
"codex_1225",8474
"codex_1226",9794
"codex_1227",18421
"codex_1228",5674
"codex_1229",15017
"codex_1230",11097
"codex_1231",18370
"codex_1232",17275
"codex_1233",3918
"codex_1234",12177
"codex_1235",9182
"codex_1236",13827
"codex_1237",6556
"codex_1238",8566
"codex_1239",3508
"codex_1240",25180
"codex_1241",3282
"codex_1242",6283
"codex_1243",9998
"codex_1244",4460
"codex_1245",6047
"codex_1246",11538
"codex_1247",8067
"codex_1248",10301
"codex_1249",12008
"codex_1250",10440
"codex_1251",13966
"codex_1252",14598
"codex_1253",19236
"codex_1254",16702
"codex_1255",19147
"codex_1256",8959
"codex_1257",15173
"codex_1258",8036
"codex_1259",7457
"codex_1260",3429
"codex_1261",9251
"codex_1262",4823
"codex_1263",8381
"codex_1264",10906
"codex_1265",17558
"codex_1266",13754
"codex_1267",7079
"codex_1268",8008
"codex_1269",12806
"codex_1270",2652
"codex_1271",17481
"codex_1272",9307
"codex_1273",12006
"codex_1274",8528
"codex_1275",3823
"codex_1276",10995
"codex_1277",11035
"codex_1278",9079
"codex_1279",2165
"codex_1280",8196
"codex_1281",10515
"codex_1282",14849
"codex_1283",7915
"codex_1284",4420
"codex_1285",7484
"codex_1286",7623
"codex_1287",7163
"codex_1288",2676
"codex_1289",1131
"codex_1290",17641
"codex_1291",12548
"codex_1292",7276
"codex_1293",15400
"codex_1294",13056
"codex_1295",2331
"codex_1296",8736
"codex_1297",7503
"codex_1298",14101
"codex_1299",25840
"codex_1300",9032
"codex_1301",2504
"codex_1302",11924
"codex_1303",11309
"codex_1304",6116
"codex_1305",12420
"codex_1306",4502
"codex_1307",14546
"codex_1308",6531
"codex_1309",6988
"codex_1310",6152
"codex_1311",4678
"codex_1312",12264
"codex_1313",8581
"codex_1314",8115
"codex_1315",7043
"codex_1316",8870
"codex_1317",7320
"codex_1318",17882
"codex_1319",17823
"codex_1320",11802
"codex_1321",13137
"codex_1322",16558
"codex_1323",13648
"codex_1324",16461
"codex_1325",5227
"codex_1326",7967
"codex_1327",20052
"codex_1328",11508
"codex_1329",10654
"codex_1330",8256
"codex_1331",5256
"codex_1332",5972
"codex_1333",10956
"codex_1334",8877
"codex_1335",13308
"codex_1336",12303
"codex_1337",8292
"codex_1338",20168
"codex_1339",17978
"codex_1340",10858
"codex_1341",14857
"codex_1342",8995
"codex_1343",16775
"codex_1344",9398
"codex_1345",18431
"codex_1346",10073
"codex_1347",7638
"codex_1348",5638
"codex_1349",12953
"codex_1350",7823
"codex_1351",7301
"codex_1352",6683
"codex_1353",13889
"codex_1354",13689
"codex_1355",6435
"codex_1356",4689
"codex_1357",478
"codex_1358",12976
"codex_1359",16977
"codex_1360",4087
"codex_1361",12664
"codex_1362",10195
"codex_1363",6894
"codex_1364",10642
"codex_1365",9422
"codex_1366",11852
"codex_1367",6426
"codex_1368",6840
"codex_1369",14419
"codex_1370",8433
"codex_1371",11351
"codex_1372",4437
"codex_1373",4440
"codex_1374",6908
"codex_1375",5521
"codex_1376",3831
"codex_1377",8672
"codex_1378",3619
