"","x","y","z"
"codex_590",668,990,7
"codex_591",694,200,11
"codex_592",706,153,11
"codex_593",683,789,9
"codex_594",712,70,11
"codex_595",695,704,10
"codex_596",715,60,10
"codex_597",694,764,6
"codex_598",689,994,8
"codex_599",705,405,6
"codex_600",694,869,9
"codex_601",720,127,9
"codex_602",708,572,11
"codex_603",713,363,10
"codex_604",708,646,7
"codex_605",708,672,9
"codex_606",708,738,10
"codex_607",682,907,9
"codex_608",682,929,10
"codex_609",712,764,10
"codex_610",704,509,10
"codex_611",728,49,11
"codex_612",724,492,10
"codex_613",732,32,10
"codex_614",729,260,8
"codex_615",701,926,7
"codex_616",710,599,11
"codex_617",743,170,10
"codex_618",719,835,8
"codex_619",727,749,6
"codex_620",719,946,11
"codex_621",738,596,11
"codex_622",728,848,9
"codex_623",745,230,10
"codex_624",726,916,10
"codex_625",750,42,11
"codex_626",750,105,8
"codex_627",746,382,10
"codex_628",739,659,10
"codex_629",728,901,11
"codex_630",749,299,9
"codex_631",748,405,9
"codex_632",729,798,11
"codex_633",742,537,8
"codex_634",741,618,8
"codex_635",747,516,11
"codex_636",756,449,9
"codex_637",732,629,10
"codex_638",760,576,9
"codex_639",749,724,10
"codex_640",748,763,10
"codex_641",747,803,9
"codex_642",730,977,7
"codex_643",746,956,10
"codex_644",744,923,10
"codex_645",758,880,10
"codex_646",764,255,9
"codex_647",774,200,10
"codex_648",763,371,7
"codex_649",763,537,8
"codex_650",749,903,10
"codex_651",779,148,10
"codex_652",737,997,9
"codex_653",772,335,8
"codex_654",776,243,9
"codex_655",783,38,9
"codex_656",784,101,9
"codex_657",772,496,9
"codex_658",777,365,11
"codex_659",784,159,8
"codex_660",771,697,9
"codex_661",780,286,9
"codex_662",765,743,7
"codex_663",782,470,11
"codex_664",765,856,10
"codex_665",767,619,7
"codex_666",767,668,11
"codex_667",777,825,9
"codex_668",790,410,9
"codex_669",790,543,8
"codex_670",775,861,9
"codex_671",784,601,11
"codex_672",799,558,10
"codex_673",796,200,7
"codex_674",786,454,7
"codex_675",784,797,7
"codex_676",798,646,6
"codex_677",795,894,7
"codex_678",780,634,9
"codex_679",809,69,11
"codex_680",780,768,9
"codex_681",813,131,9
"codex_682",791,909,9
"codex_683",802,699,11
"codex_684",778,917,9
"codex_685",803,628,9
"codex_686",804,608,7
"codex_687",823,261,10
"codex_688",825,196,9
"codex_689",809,448,8
"codex_690",816,314,9
"codex_691",823,483,11
"codex_692",815,402,8
"codex_693",811,590,9
"codex_694",802,945,10
"codex_695",790,986,9
"codex_696",827,291,9
"codex_697",806,351,10
"codex_698",824,369,7
"codex_699",804,801,11
"codex_700",822,504,8
"codex_701",815,824,9
"codex_702",814,879,10
"codex_703",821,790,7
"codex_704",827,404,10
"codex_705",827,421,7
"codex_706",811,771,10
"codex_707",838,102,8
"codex_708",806,739,8
"codex_709",806,961,10
"codex_710",833,340,6
"codex_711",840,38,9
"codex_712",834,648,9
"codex_713",841,260,11
"codex_714",818,932,8
"codex_715",839,605,11
"codex_716",850,159,11
"codex_717",835,803,10
"codex_718",851,305,11
"codex_719",837,861,7
"codex_720",842,581,11
"codex_721",860,135,8
"codex_722",837,976,9
"codex_723",845,537,9
"codex_724",832,738,9
"codex_725",840,664,7
"codex_726",855,274,8
"codex_727",866,207,10
"codex_728",844,464,10
"codex_729",860,586,11
"codex_730",867,354,9
"codex_731",867,413,8
"codex_732",867,664,8
"codex_733",844,694,10
"codex_734",844,767,9
"codex_735",867,762,7
"codex_736",872,469,10
"codex_737",856,786,10
"codex_738",882,3,9
"codex_739",856,818,9
"codex_740",851,940,10
"codex_741",848,908,7
"codex_742",881,574,8
"codex_743",858,870,9
"codex_744",858,898,10
"codex_745",871,722,8
"codex_746",880,102,10
"codex_747",877,524,9
"codex_748",880,164,9
"codex_749",886,456,9
"codex_750",856,958,10
"codex_751",871,856,9
"codex_752",884,391,6
"codex_753",889,311,9
"codex_754",848,994,8
"codex_755",899,85,11
"codex_756",857,622,9
"codex_757",893,223,9
"codex_758",894,409,11
"codex_759",888,613,7
"codex_760",875,555,9
"codex_761",869,891,9
"codex_762",869,926,9
"codex_763",906,27,9
"codex_764",896,514,11
"codex_765",906,114,11
"codex_766",893,781,11
"codex_767",893,933,8
"codex_768",891,901,9
"codex_769",914,138,7
"codex_770",904,482,7
"codex_771",910,296,11
"codex_772",913,175,10
"codex_773",920,277,11
"codex_774",894,736,9
"codex_775",912,468,9
"codex_776",913,383,9
"codex_777",888,828,11
"codex_778",904,646,10
"codex_779",899,712,9
"codex_780",919,521,8
"codex_781",914,598,6
"codex_782",902,811,9
"codex_783",902,957,9
"codex_784",920,563,10
"codex_785",911,977,9
"codex_786",914,783,11
"codex_787",915,859,8
"codex_788",938,74,10
"codex_789",934,166,7
"codex_790",909,922,11
"codex_791",937,281,8
"codex_792",930,662,9
"codex_793",932,482,11
"codex_794",946,186,8
"codex_795",932,817,10
"codex_796",935,959,9
"codex_797",922,917,7
"codex_798",952,104,9
"codex_799",939,760,10
"codex_800",941,328,9
"codex_801",933,699,10
"codex_802",954,427,8
"codex_803",959,512,10
"codex_804",953,378,7
"codex_805",950,349,10
"codex_806",927,609,10
"codex_807",954,543,9
"codex_808",947,702,7
"codex_809",957,602,7
"codex_810",964,475,10
"codex_811",970,35,9
"codex_812",959,774,8
"codex_813",941,884,11
"codex_814",959,820,10
"codex_815",936,912,9
"codex_816",964,740,9
"codex_817",949,860,9
"codex_818",977,206,9
"codex_819",973,307,9
"codex_820",961,666,6
"codex_821",961,690,9
"codex_822",982,72,10
"codex_823",966,446,11
"codex_824",952,639,10
"codex_825",982,247,9
"codex_826",964,961,10
"codex_827",972,582,9
"codex_828",982,428,7
"codex_829",971,629,7
"codex_830",978,356,8
"codex_831",966,908,8
"codex_832",995,9,10
"codex_833",986,389,8
"codex_834",1002,109,9
"codex_835",977,924,8
"codex_836",996,319,8
"codex_837",986,491,7
"codex_838",1004,213,10
"codex_839",993,687,11
"codex_840",967,984,10
"codex_841",991,649,8
"codex_842",984,864,9
"codex_843",1010,250,6
"codex_844",1010,289,6
"codex_845",1003,486,9
"codex_846",1004,543,9
"codex_847",997,635,10
"codex_848",987,697,9
"codex_849",1010,627,8
"codex_850",1017,21,9
"codex_851",991,939,9
"codex_852",1011,454,9
"codex_853",1021,34,9
"codex_854",1020,74,10
"codex_855",1005,833,8
"codex_856",1015,382,9
"codex_857",1010,910,10
"codex_858",1025,6,10
"codex_859",1021,321,10
"codex_860",995,823,10
"codex_861",988,730,9
"codex_862",1012,664,10
"codex_863",1026,195,9
"codex_864",999,984,9
"codex_865",1022,124,8
"codex_866",1020,421,9
"codex_867",1035,236,8
"codex_868",1035,273,9
"codex_869",1030,307,7
"codex_870",1038,156,9
"codex_871",1017,774,9
"codex_872",1023,605,9
"codex_873",1033,324,10
"codex_874",1033,336,7
"codex_875",1023,728,9
"codex_876",1041,89,10
"codex_877",1036,828,8
"codex_878",1046,197,7
"codex_879",1044,285,10
"codex_880",1029,937,9
"codex_881",1029,992,9
"codex_882",1053,33,10
"codex_883",1038,687,10
"codex_884",1049,501,9
"codex_885",1051,535,10
"codex_886",1038,713,9
"codex_887",1063,190,9
"codex_888",1038,879,7
"codex_889",1057,430,9
"codex_890",1056,387,9
"codex_891",1070,71,9
"codex_892",1051,764,10
"codex_893",1041,570,9
"codex_894",1039,937,8
"codex_895",1069,102,8
"codex_896",1057,904,8
"codex_897",1062,301,9
"codex_898",1065,131,8
"codex_899",1043,965,9
"codex_900",1059,621,9
"codex_901",1054,851,9
"codex_902",1069,666,9
"codex_903",1074,262,11
"codex_904",1061,801,8
"codex_905",1077,238,7
"codex_906",1087,2,9
"codex_907",1073,331,9
"codex_908",1088,39,10
"codex_909",1088,142,8
"codex_910",1065,471,8
"codex_911",1080,556,8
"codex_912",1085,213,10
"codex_913",1066,596,8
"codex_914",1076,572,9
"codex_915",1080,734,8
"codex_916",1083,446,7
"codex_917",1064,517,7
"codex_918",1087,910,9
"codex_919",1098,112,10
"codex_920",1078,678,9
"codex_921",1087,1002,9
"codex_922",1091,864,8
"codex_923",1071,814,9
"codex_924",1089,875,8
"codex_925",1082,693,8
"codex_926",1109,66,8
"codex_927",1082,770,10
"codex_928",1099,503,9
"codex_929",1085,943,9
"codex_930",1099,519,11
"codex_931",1106,269,9
"codex_932",1099,658,9
"codex_933",1109,293,9
"codex_934",1100,371,10
"codex_935",1100,430,9
"codex_936",1120,70,9
"codex_937",1112,240,7
"codex_938",1104,566,11
"codex_939",1100,536,8
"codex_940",1113,337,8
"codex_941",1114,394,8
"codex_942",1108,470,7
"codex_943",1103,786,8
"codex_944",1095,889,8
"codex_945",1095,920,7
"codex_946",1116,636,9
"codex_947",1118,468,6
"codex_948",1122,608,10
"codex_949",1132,37,8
"codex_950",1113,854,7
"codex_951",1133,153,8
"codex_952",1105,895,11
"codex_953",1094,978,9
"codex_954",1141,3,8
"codex_955",1145,124,8
"codex_956",1110,923,8
"codex_957",1110,961,9
"codex_958",1122,808,10
"codex_959",1143,315,9
"codex_960",1123,447,10
"codex_961",1123,557,9
"codex_962",1144,379,9
