"","blank_Cy3_cyc15","blank_Cy5_cyc15","blank_Cy3_cyc16","blank_Cy5_cyc16"
"codex_41",918.05908203125,481.455688476562,768.285522460938,509.550628662109
"codex_42",1624.81628417969,749.315612792969,1083.07824707031,1250.18969726562
"codex_43",2025.77819824219,874.3359375,1532.33642578125,1313.3310546875
"codex_44",1011.83331298828,582.876647949219,935.287536621094,1206.35620117188
"codex_45",4258.0654296875,3671.47021484375,3000.86474609375,3967.638671875
"codex_46",154.707534790039,28.3921241760254,133.581726074219,753.194091796875
"codex_47",994.973510742188,725.6337890625,849.349487304688,1538.68481445312
"codex_48",2338.84106445312,907.589904785156,667.9345703125,298.882965087891
"codex_49",1670.86145019531,340.344940185547,550.32177734375,639.581726074219
"codex_50",493.508087158203,635.826538085938,608.019714355469,756.968811035156
"codex_51",608.835632324219,400.187835693359,509.893218994141,969.703369140625
"codex_52",-1218.48352050781,-1024.32763671875,-463.164978027344,-583.973876953125
"codex_53",3180.42700195312,2157.69189453125,2433.90942382812,2624.72290039062
"codex_54",774.660034179688,381.05078125,831.137329101562,392.396179199219
"codex_55",800.520690917969,409.129608154297,493.526397705078,1860.76403808594
"codex_56",497.129302978516,199.094802856445,722.331848144531,740.083068847656
"codex_57",1115.05310058594,721.611083984375,920.633178710938,893.267700195312
"codex_58",1657.89819335938,678.517395019531,1056.1845703125,1289.01354980469
"codex_59",1648.90197753906,751.895751953125,881.33740234375,1354.15832519531
"codex_60",-1838.36303710938,-3286.69677734375,-1317.56335449219,-2707.76293945312
"codex_61",451.168334960938,1053.82800292969,816.815795898438,979.519409179688
"codex_62",496.28564453125,734.910034179688,982.791564941406,944.811462402344
"codex_63",1577.67028808594,849.333251953125,848.996643066406,1398.57507324219
"codex_64",796.085388183594,583.603698730469,910.604614257812,768.788452148438
"codex_65",613.849304199219,863.529602050781,587.684387207031,937.837707519531
"codex_66",3767.79345703125,423.091613769531,967.961975097656,869.208679199219
"codex_67",1552.91845703125,936.376586914062,1220.75854492188,1317.35949707031
"codex_68",678.38134765625,546.782409667969,578.239440917969,732.260009765625
"codex_69",990.945678710938,745.028686523438,992.283935546875,1438.07287597656
"codex_70",594.8154296875,364.417022705078,540.294799804688,675.585632324219
"codex_71",1230.65295410156,1139.83117675781,944.905822753906,1663.22399902344
"codex_72",-680.101623535156,-347.751556396484,-427.154571533203,22.5289459228516
"codex_73",2250.10205078125,630.318176269531,1335.40112304688,1025.15246582031
"codex_74",1359.05541992188,510.154663085938,839.187194824219,766.961669921875
"codex_75",775.353210449219,269.582336425781,480.46142578125,396.222808837891
"codex_76",1191.47583007812,479.652465820312,1130.98779296875,962.572998046875
"codex_77",623.640258789062,564.728637695312,731.8203125,657.81884765625
"codex_78",621.163879394531,189.70947265625,387.080200195312,129.578079223633
"codex_79",2970.291015625,1610.80541992188,1514.18640136719,1686.455078125
"codex_80",-90.6773452758789,-163.23469543457,209.651275634766,344.900054931641
"codex_81",751.217651367188,584.923522949219,736.609619140625,757.179504394531
"codex_82",1032.57897949219,847.904846191406,1018.212890625,1005.01055908203
"codex_83",1993.94189453125,1212.15710449219,1253.28686523438,1315.34240722656
"codex_84",-313.951599121094,-148.757247924805,24.925350189209,13.2500085830688
"codex_85",761.129821777344,541.806030273438,762.288269042969,712.157531738281
"codex_86",733.103271484375,544.869262695312,803.939575195312,792.773681640625
"codex_87",760.530395507812,606.0234375,1118.14929199219,822.457580566406
"codex_88",1513.08264160156,367.05322265625,607.144958496094,1314.45129394531
"codex_89",741.737854003906,545.533569335938,437.15625,586.359802246094
